KC711059	Mann et al	Emerging Infect. Dis. 19 (9), 1418-1427 (2013)	Continued evolution of West Nile virus, Houston, Texas, USA, 2002-2012	https://www.ncbi.nlm.nih.gov/pubmed/23965756
KR348929	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
KC736489	Duggal et al	Am. J. Trop. Med. Hyg. 89 (2), 205-210 (2013)	Sequence Analyses of 2012 West Nile Virus Isolates from Texas Fail to Associate Viral Genetic Factors with Outbreak Magnitude	https://www.ncbi.nlm.nih.gov/pubmed/23817333
MF175844	Aroh et al	Unpublished	2012 West Nile Virus differ in frequency of introductions into Texas and ability to overwinter, 2012-2015	https://www.ncbi.nlm.nih.gov/nuccore/MF175844
KJ501517	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501517
KJ501269	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501269
HM488224	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
DQ164200	Davis et al	Virology 342 (2), 252-265 (2005)	Phylogenetic analysis of North American West Nile virus isolates, 2001-2004: evidence for the emergence of a dominant genotype	https://www.ncbi.nlm.nih.gov/pubmed/16137736
HM488138	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
HM756648	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KR349016	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
HM488209	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
JF972636	Henn et al	Submitted (12-MAY-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JF972636
KX547449	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547449
HM488214	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
DQ080068	Deardorff et al	Emerging Infect. Dis. 12 (2), 314-318 (2006)	Introductions of West Nile virus strains to Mexico	https://www.ncbi.nlm.nih.gov/pubmed/16494762
KJ501475	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501475
KX547334	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547334
KX547379	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547379
KJ501214	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501214
KJ501410	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501410
KX547331	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547331
KJ501522	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501522
KJ501139	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501139
HM488195	Henn et al	Submitted (12-MAY-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM488195
HM756672	Henn et al	Submitted (24-JUN-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM756672
MH170226	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH170226
HM488158	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KX547403	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547403
KJ501529	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501529
KJ501501	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501501
KJ501352	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501352
KJ501407	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501407
KX547287	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547287
MH170262	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH170262
HM488186	Henn et al	Submitted (12-MAY-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM488186
KX547553	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547553
KJ501418	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501418
KX547610	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547610
KX547594	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547594
MF175853	Aroh et al	Unpublished	2012 West Nile Virus differ in frequency of introductions into Texas and ability to overwinter, 2012-2015	https://www.ncbi.nlm.nih.gov/nuccore/MF175853
JF957185	Anez et al	PLoS Negl Trop Dis 7 (5), E2245 (2013)	Evolutionary dynamics of west nile virus in the United States, 1999-2011: phylogeny, selection pressure and evolutionary time-scale analysis	https://www.ncbi.nlm.nih.gov/pubmed/23738027
KJ501336	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501336
KX547436	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547436
AF404755	Lanciotti et al	Virology 298 (1), 96-105 (2002)	Complete genome sequences and phylogenetic analysis of West Nile virus strains isolated from the United States, Europe, and the Middle East	https://www.ncbi.nlm.nih.gov/pubmed/12093177
KX547206	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547206
KX547484	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547484
KR348942	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
KJ786936	Duggal et al	PLoS Negl Trop Dis 8 (10), E3262 (2014)	Evidence for Co-evolution of West Nile Virus and House Sparrows in North America	https://www.ncbi.nlm.nih.gov/pubmed/25357248
KJ501142	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501142
KJ501459	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501459
JX015520	Mann et al	Virology 436 (1), 75-80 (2013)	Dynamic transmission of West Nile virus across the United States-Mexican border	https://www.ncbi.nlm.nih.gov/pubmed/23141421
DQ164191	Davis et al	Virology 342 (2), 252-265 (2005)	Phylogenetic analysis of North American West Nile virus isolates, 2001-2004: evidence for the emergence of a dominant genotype	https://www.ncbi.nlm.nih.gov/pubmed/16137736
HM488163	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KJ501125	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501125
KJ501450	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501450
KJ501273	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501273
HM488149	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
MF175836	Aroh et al	Unpublished	2012 West Nile Virus differ in frequency of introductions into Texas and ability to overwinter, 2012-2015	https://www.ncbi.nlm.nih.gov/nuccore/MF175836
KX547400	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547400
KJ501340	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501340
KX547445	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547445
DQ164186	Davis et al	Virology 342 (2), 252-265 (2005)	Phylogenetic analysis of North American West Nile virus isolates, 2001-2004: evidence for the emergence of a dominant genotype	https://www.ncbi.nlm.nih.gov/pubmed/16137736
KX547304	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547304
JF920735	Henn et al	Submitted (06-MAY-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JF920735
KJ501234	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501234
KJ501401	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501401
HM488155	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
JF957164	Anez et al	PLoS Negl Trop Dis 7 (5), E2245 (2013)	Evolutionary dynamics of west nile virus in the United States, 1999-2011: phylogeny, selection pressure and evolutionary time-scale analysis	https://www.ncbi.nlm.nih.gov/pubmed/23738027
MH170238	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH170238
KX547367	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547367
KJ501270	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501270
MH166910	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH166910
KJ501206	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501206
MG004536	Hepp et al	Unpublished	Evidence for persistent establishment of West Nile Virus in the Phoenix Metropolitan area	https://www.ncbi.nlm.nih.gov/nuccore/MG004536
MH166916	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH166916
KX547461	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547461
MF175808	Aroh et al	Unpublished	2012 West Nile Virus differ in frequency of introductions into Texas and ability to overwinter, 2012-2015	https://www.ncbi.nlm.nih.gov/nuccore/MF175808
KX547248	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547248
DQ080070	Deardorff et al	Emerging Infect. Dis. 12 (2), 314-318 (2006)	Introductions of West Nile virus strains to Mexico	https://www.ncbi.nlm.nih.gov/pubmed/16494762
JF415925	McMullen et al	Emerging Infect. Dis. 17 (5), 785-793 (2011)	Evolution of new genotype of West Nile virus in North America	https://www.ncbi.nlm.nih.gov/pubmed/21529385
KX547357	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547357
KX547390	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547390
MH170274	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH170274
KJ501324	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501324
KJ501257	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501257
KX547564	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547564
KM012181	Grinev et al	PLoS Negl Trop Dis 10 (5), E0004717 (2016)	Genetic Variability of West Nile Virus in U.S. Blood Donors from the 2012 Epidemic Season	https://www.ncbi.nlm.nih.gov/pubmed/27182734
KJ501224	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501224
KJ501482	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501482
MH170267	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH170267
KJ501243	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501243
KX547429	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547429
KX547562	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547562
